,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
0,0,3,1,1,0,2,2,0
1,1,1,0,2,3,0,3,0
2,1,3,0,1,1,2,1,1
3,1,1,0,2,3,2,3,0
4,0,3,1,2,1,2,2,1
5,0,3,1,1,1,1,2,1
6,0,1,1,3,3,2,2,1
7,0,3,1,0,2,2,0,0
8,1,3,0,1,1,2,3,0
9,1,2,0,0,2,0,3,0
10,1,3,0,0,2,2,1,0
11,1,1,0,3,2,2,1,1
12,0,3,1,1,1,2,2,1
13,0,3,1,2,3,2,2,0
14,0,3,0,0,0,2,1,1
15,1,2,0,3,2,2,3,1
16,0,3,1,0,2,1,0,0
17,1,2,1,1,1,2,2,1
18,0,3,0,1,2,2,3,0
19,1,3,0,1,0,0,3,1
20,0,2,1,2,2,2,2,1
21,1,2,1,2,1,2,2,1
22,1,3,0,0,1,1,1,1
23,1,1,1,1,3,2,2,1
24,0,3,0,0,2,2,1,0
25,1,3,0,2,3,2,3,0
26,0,3,1,1,0,0,2,1
27,0,1,1,1,3,2,2,0
28,1,3,0,1,0,1,1,1
29,0,3,1,1,0,2,2,1
30,0,1,1,2,2,0,4,1
31,1,1,0,1,3,0,3,0
32,1,3,0,1,0,1,1,1
33,0,2,1,4,1,2,2,1
34,0,1,1,1,3,0,2,0
35,0,1,1,2,3,2,2,0
36,1,3,1,1,0,0,2,1
37,0,3,1,1,1,2,2,1
38,0,3,0,1,2,2,1,0
39,1,3,0,0,1,0,1,0
40,0,3,0,2,1,2,3,0
41,0,2,0,1,2,2,3,0
42,0,3,1,1,0,0,2,1
43,1,2,0,0,3,0,1,0
44,1,3,0,1,0,1,1,1
45,0,3,1,1,1,2,2,1
46,0,3,1,1,2,1,2,0
47,1,3,0,1,0,1,1,1
48,0,3,1,1,2,0,2,0
49,0,3,0,1,2,2,3,0
50,0,3,1,0,3,2,0,0
51,0,3,1,1,0,2,2,1
52,1,1,0,3,3,0,3,0
53,1,2,0,1,2,2,3,0
54,0,1,1,4,3,0,2,0
55,1,1,1,1,3,2,2,1
56,1,2,0,1,1,2,1,1
57,0,3,1,1,0,0,2,1
58,1,2,0,0,2,2,1,0
59,0,3,1,0,3,2,0,0
60,0,3,1,1,0,0,2,1
61,1,1,0,2,3,2,1,1
62,0,1,1,2,3,2,2,0
63,0,3,1,0,2,2,0,0
64,0,1,1,1,2,0,2,1
65,1,3,1,1,2,0,0,0
66,1,2,0,1,1,2,3,1
67,0,3,1,1,1,2,2,1
68,1,3,0,1,1,2,1,0
69,0,3,1,1,1,2,2,0
70,0,2,1,1,1,2,2,1
71,0,3,0,0,3,2,1,0
72,0,2,1,1,3,2,2,1
73,0,3,1,1,2,0,2,0
74,1,3,1,1,3,2,2,1
75,0,3,1,1,0,2,2,1
76,0,3,1,1,0,2,2,1
77,0,3,1,1,1,2,2,1
78,1,2,1,0,2,2,0,0
79,1,3,0,1,1,2,1,1
80,0,3,1,1,1,2,2,1
81,1,3,1,1,1,2,2,1
82,1,3,0,1,0,1,1,1
